Title,lyrics
Girls Girls Girls ,"I don’t even try, ‘Don’t know why they’re like that Just seeing me makes them go crazy My look, my style, my swagger Oh I don’t do anything, just love myself the way I am Just give a glance with a casual approach “Hey girl! How’re you doing?” (hey) (Girls girls girls they love me) What’s with my body (Girls girls girls they love me) From birth until forever I just show up (oh oh my) Give a glance (oh oh my) Stay breathing (oh oh my) (Girls girls girls they love me) Wear a little smile (oh oh my) Move slowly (oh oh my) Nothing much done (oh oh my) (Girls girls girls they love me) Don’t know whether it’s love or not So many temptations everyday This girl. That girl. All day long Oh better make up my mind on just one That’s what I wanna do but they simply won’t let go (hey) (Girls girls girls they love me) What’s with my body (Girls girls girls they love me) From birth until forever I just show up (oh oh my) Give a glance (oh oh my) Stay breathing (oh oh my) (Girls girls girls they love me) Wear a little smile (oh oh my) Move slowly (oh oh my) Nothing much done (oh oh my) (Girls girls girls they love me) Yo Uh I’m not exxagerating, unfortunately not This is not a song, just take my word for it Don’t give a twist, please listen to me Don’t know if you’ll understand, but it’s like I ate a magnet My body pulls the girls around me, can’t do a thing So many times already, this single day? I’m just too popular Whether young or old, they grab me and say let’s play Whether they know me or notm they say “Whatcha doin’?” Let’s have a talk Wish I had a twin, maybe clone myself like Matrix I’m only one, but so much in demand Every lady wants a piece of me I just show up (oh oh my) Give a glance (oh oh my) Stay breathing (oh oh my) (Girls girls girls they love me) Wear a little smile (oh oh my) Move slowly (oh oh my) Nothing much done (oh oh my) (Girls girls girls they love me)"
Gloomy Clock ,"I’m depressed, it’s depressing, at this time, I’m depressed I’m depressed, it’s depressing, what time is it now? 11:30 I’m depressed, it’s depressing, the gloomy clock ticks I’m depressed, it’s depressing, why did I eat the ramen? I probably gained weight It’s raining, it’s raining, making things sticky, it keeps raining I’m sleepy, I’m sleepy, I’m too lazy to do anything When time passes, the breakup that tore my heart apart When time passes, the young memories that kicked away at the blankets It gets forgotten, gets forgotten, it just passes right by It gets forgotten, gets forgotten, but back then I thought that was everything When time passes, this depression When time passes, the things I said were hard and complained about They will become things of the past The sharp and emotional memories They will become dull, become dull like a square wearing down to become a circle I’m depressed, it’s depressing, becoming dull is depressing I’m bitter, bitter, as if I’m drinking herbal medicine I’m depressed, it’s depressing, it’s not a big deal but I’m depressed I’m depressed, it’s depressing, as if I’m eating gloomy fruit, I’m depressed"
HANDLE IT,"My two dry eyes are cold from the blowing wind The tears I tried to hold back fall Tell me it’ll be okay I don’t know whether the sun is rising or setting I miss you Oh oh, those many reasons and excuses are all useless, you know well Place your hand and answer Don’t pretend not to know I’ve forgotten the path to return I can’t even find it now Ain’t got no better way, better way, better way Cause I can’t handle it I can’t hear any words I’ll stay here You’re going to return Oh, I can’t handle it Don’t get further away from me Baby come here quick We shouldn’t call it quits Cause I can’t handle it Like stickers, even if the memories come off The mark that is left makes it look thicker The fire can’t go out Since traces of you are still left here It burns down, it burns down Bruises form, ashy pale Climbing my chest, they just keep spreading They’ve gotten bigger I don’t know how to empty my heart Back to the spot that got swept away by the waves Ain’t got no better way, better way, better way Cause I can’t handle it I can’t hear any words I’ll stay here You’re going to return Oh, I can’t handle it Don’t get further away from me Baby come here quick We shouldn’t call it quits Cause I can’t handle it Cause I can’t handle it"
HAPPY BIRTHDAY TO YOU,"Wherever you are, this day is for you Your heart that has been making a fuss for a long time It’s okay to let go today, it’s the day the world has given you It’s a thought that came up while walking for a long time The sounds of this fast-paced world Let’s turn it off for a while I hope today will be a day for you With me Happy birthday to you (to you) For you Oh, happy birthday to you (to you, ooh-ooh, ooh-ooh, ooh-ooh) It’s like a gift to me (oh, yeah) Congratulations on your day Happy birthday to you (you-ooh, ooh-ooh, ooh-ooh) I hope you are the happiest You dreamed like a child who had so many things you wanted to do You and I walk closer and closer Even if we don’t say it, we’re becoming like each other every day It’s about us who grew up while walking for a long time The sounds of this fast-paced world Let’s turn it off for a while I hope today will be a day for you With me Happy birthday to you (to you) For you Oh, happy birthday to you (to you, ooh-ooh, ooh-ooh, ooh-ooh) It’s like a gift to me (oh, yeah) Congratulations on your day Happy birthday to you (you-ooh, ooh-ooh, ooh-ooh) I hope you are the happiest Like an old song Our story today Like a diary on The side of a bookshelf In each other’s memories Let’s engrave it like today Let’s take it out like today, remember today Happy birthday to you (to you) (ooh) For you Oh, happy birthday to you (ooh) (to you, ooh-ooh, ooh-ooh, ooh-ooh) It’s like a gift to me (oh, yeah) Congratulations on your day Happy birthday to you (you-ooh, ooh-ooh, ooh-ooh) I hope you’re the happiest Da-ra-ra-ra-ra-ra-ra-ra-ra Like today, like now Da-ra-ra-ra-ra-ra-ra-ra-ra Happy every day, ooh Da-ra-ra-ra-ra-ra-ra-ra-ra Oh, every day, like everyday Da-ra-ra-ra-ra-ra-ra-ra-ra I hope you’re the happiest"
HELL IN HEAVEN,"Your eyes are akin to thorn-stuck diamond Moves between angel and devil Heaven and hell aren’t as far as I thought If you want it, they ask for one If you want it, they’ll give you a chance What to do? I can’t lose it I know and you know When the sun stops Can’t wait, I can’t wait And the whole world turn off the lights Oh-oh-oh-oh-oh-oh It starts Deal with the devil Ayaya ah Take me to your paradise The heaven’s door closes Star-falling night Kiss me in the blue moonlight Hurry up and take me out Bring me to that place My hope in hell Take me to your paradise Just once, mmm Once more, mmm Last time, mmm I keep wanting you Just by seeing you Just by touching you I’m in heaven, hell, no somewhere in between Want you hotly Can’t wait, I can’t wait As I start to want you more desperately Oh-oh-oh-oh-oh-oh I’m at a disadvantage Deal with the devil Ayaya ah Take me to your paradise The heaven’s door closes Star-falling night Kiss me in the blue moonlight Hurry up and take me out Bring me to that place My hope in hell Take me to your paradise Open the door to heaven Let me walk on the cloud, can we? The day I’m trapped in you Save me, hold me tight I collapse faster I am colored darker and darker, ooh Hell in heaven Oh oh oh oh oh Take me to your paradise The heaven’s door closes Star-falling night Kiss me in the blue moonlight Hurry up and take me out Bring me to that place My hope in hell Take me to your paradise Paradise"
"HELLO (NAYEON, MOMO, CHAEYOUNG)","Hello, we up run this city, yo So good, you know? Yeah, I’m litty, yo In this moment, above the open city Fanfare, hands in the air, woo Hello, we up run this city, yo So cool, you know? Yeah, I’m litty, yo This breathtaking feeling rising above the city, uh Fanfare, hands in the air, woo Bad words I’m a bad chick Ayy, in other words I’m the baddest Uh, get anything I want Ayy, at once to your heart Yo, even if you hide it I can see it on your face Flying high, flying, wings, I rise real quick Ooh! Ah! As if my lips are possessed, move Make ’em mad when I do this I don’t act, I just do Just do something Why can’t you talk, it’s no fun Ah yeah, ain’t no one compare to me, I know Ah yeah, ain’t no onе, you know it too Stop and just do something Come closer with confidеnce Ah yeah, ain’t no one compare to me, I know Ah yeah, ain’t no one come on, show me your heart (ayy) Hello, we up run this city, yo So good, you know? Yeah, I’m litty, yo In this moment, above the open city Fanfare, hands in the air, woo Hello, we up run this city, yo So cool, you know? Yeah, I’m litty, yo This breathtaking feeling rising above the city, uh Fanfare, hands in the air, woo Pour oil onto your dry heart, uh Made to be fire, overheated atmosphere, ayy I’m too ill, a fact everyone knows Temperature swallowed by the sun, don’t you forget it Armageddon when I get it make the world shake First time? A character like this, I’m a rare case All night I run the city like the mayor, ayy Too fly, get out, out of my airspace Just do something Why can’t you talk, it’s no fun Ah yeah, ain’t no one compare to me, I know Ah yeah, ain’t no one, you know it too Stop and just do something Come closer with confidence Ah yeah, ain’t no one compare to me, I know Ah yeah, ain’t no one, come on, show me your heart Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Fanfare, hands in the air, ayy Hello, we up run this city, yo So cool, you know? Yeah I’m litty, yo Ny, mo, cy We twice Fanfare, hands in the air, woo!"
Havana,"They say everyone sings over there Living in front of the crashing waves In the most unfamiliar city With the most familiar you How about it Doesn’t it sound great Here, let’s talk about all of our Secrets that we couldn’t say before Sharing them loudly as we walk together Memorize this line, hola muchacha hermosa Tell that to me every morning A drink for you, a drink for me A late night pina colada Smile brightly, so pretty, click Let’s remember this moment Havana, you’re my Havana Your unknown eyes Havana, always a heart fluttering feeling Your existence makes me dream The crazier and busier it gets The short moments I get with the precious you My days are happy because someone is waiting for me I’m always half-excited For a moment, the sun looks like a sweet tangerine The last moment before the day time leaves Time to get ready to see you I will leave for a vacation Havana, you’re my Havana Your unknown eyes Havana, always a heart fluttering feeling Your existence makes me dream You are my break My dilemmas and worries disappear Every day, I leave far away When I see you Havana, you’re my Havana Your unknown eyes Havana, always a heart fluttering feeling Your existence makes me dream"
Hello ,"Hello, is anyone there? Will you look at me for a moment right now? Hello, listen to me Boys who are no joke have appeared It’s the new beginning we gonna take it over All my ladies, put your hands up high Hello, everyone focus here, I’m like I’m gonna tickle your ears, ya feel me? People say I’m different (you know) They say I’m special Just come to me, come to me right now Don’t think anything (I know) You won’t regret it Just come to me, come to me right now Hello, hello, hello Ask, ask, aren’t you curious? Hello, hello, hello Listen, listen, listen to me Hello, hello, hello Ask, ask, are you curious? We’re the new hot burning high quality, gathered together (Stand Up!) The boys are ready to shake you up Hello, is anyone there? I’m so hot hot hot, that’s what I hear Hello, there’s no need for words Whether you’re a bad girl, good girl, it doesn’t matter Don’t steal glances at me Don’t measure me out with irony Hello, I’m kind of a hot shot I’m different from other kids since I was born My body is slightly leaned back, my hat is always on backwards Push back the suffocating suit and ties"
Hi spring Bye (봄 안녕 봄),"Your name that was once painful Doesn’t make me regretful anymore I live as if I have forgotten You’re a coincidence that I want to face again A low wind blows In this faint hint of a season It’s not unfamiliar to me at all My heart reaches out just in case Spring, you must have been spring to me Like the voice that used to call my name warmly Maybe you’re doing well I guess this is a friendly regard You’re still pretty Hi, hi On the street we used to walk side by side There is a flower that blooms out of nowhere I was in a hurry, pretending not to notice it But I’m suddenly thinking of it Spring, you must have been spring to me Like a comfortable smile shining with full cheeks glistening Maybe you’re doing well I guess this is a friendly regard You’re still pretty Hi, hi So that we can meet on a different road everyday I walk diligently I’ll be waiting like this It feels like you’re hugging me again It’s what you used to do in the past, without saying a word In order to get along better I guess this is a friendly goodbye I won’t not know you I’ll acknowledge you first, like this Hi"
How You Like That,"BLACKPINK in your area!!! before your eyes, i fell below Hitting rock bottom, I'm sinking too deep I grab on to, what's left to hope Both hands are begging for something to reach In this dark place again, I'mma light up the sky I look in your eyes and I'll kiss you goodbye Laugh all you want cause it's almost your time Ready for it 3 2 1 Ho-how you like that? You gon' like that, that-that-that-that, that-that-that-that How you like that? (Bada-bing, bada-boom-boom-boom) How you like that, that-that-that-that, that-that-that-that? Now look at you, now look at me, look at you, now look at me Look at you, now look at me, how you like that? Now look at you, now look at me, look at you, now look at me Look at you, now look at me, how you like that? Your girl need it all and that's a hundred 10 out of 10 if i want it i got it Karma come on get some I might feel bad, what you gon' do 'bout that? What's up? I'm right back Pull the trigger cocked back Plain Jane get highjacked Don't like me then tell me how you like that, like that Though I'm in the dark I still shine like the stars I flash you a smile and I'll kiss you goodbye Laugh all you want cause it's almost your time Ready for it 3 2 1 Ho- how you like that? You gon' like that, that-that-that-that, that-that-that-that How you like that? (Bada-bing, bada-boom-boom-boom) How you like that, that-that-that-that, that-that-that-that? Now look at you, now look at me, look at you, now look at me Look at you, now look at me, how you like that? Now look at you, now look at me, look at you, now look at me Look at you, now look at me, how you like that? The day I fell without my wings up from the sky The days trapped in the dark just searching for the light You should have known, I got you running for your life Look up in the sky it's a bird it's a plane Yeah-eah-eah-eah Bring out your boss, bitch Yeah-eah-eah-eah BLACKPINK DU DU DU DU DU DU DU DU DU DU DU (how you like that?) Ddu-du-du-du-du-du-du-du-du-du-doo(you gon' like that) DU DU DU DU DU DU DU DU DU DU DU (how you like that?) Ddu-du-du-du-du-du-du-du-du-du-doo"
I CAN’T STOP ME,"Alarm goes off ring ring a ling Whenever our eyes meet I notice but just spin around Yet I keep getting closer I know it’s too late In my heart I already know Sooner or later I’ll step over the line I’m warning myself You shouldn’t be doing this Every minute, every second, my heart goes ahead of me Out of control I’m surrounded by that spot spot spotlight As it shines on me, I’m swept into the darkness I see the end, I know it’s not right I can’t stop me, can’t stop me Right in front of me, this red red red line Across from each other, you and I exchange glances Wanna feel the thrilling highlight I can’t stop me, can’t stop me I can’t stop me, can’t stop me Keep your eyes closed ya ya Just this once no rules ah ah Pretend you don’t know lights off tonight I can’t help it losing myself Now turning back Is impossible, I fall deeper into darkness It is so thrilling Wanna close my eyes I just can’t go back anymore Out of control I’m surrounded by that spot spot spotlight As it shines on me, I’m swept into the darkness I see the end, I know it’s not right I can’t stop me, can’t stop me Right in front of me, this red red red line Across from each other, you and I exchange glances Wanna feel the thrilling highlight I can’t stop me, can’t stop me Risky risky wiggy crisis This is an emergency Help me, help me, somebody stop me Cuz I know I can’t stop me I already know the answer But I still keep going I don’t wanna do this There must be another me inside me I want it, but Can’t do what I want Guilty I don’t want it I can’t stop me, can’t stop me, can’t stop me I’m surrounded by that spot spot spotlight As it shines on me, I’m swept into the darkness I see the end, I know it’s not right I can’t stop me, can’t stop me Right in front of me, this red red red line Across from each other, you and I exchange glances Wanna feel the thrilling highlight I can’t stop me, can’t stop me I can’t stop me, can’t stop me"
I Like It,"Wanna be loved… Don’t wanna be fool, wanna be cool Wanna be loved, same love as you Baby I want it On every picture you post up A guy I’ve never seen before likes it, who is he? Oh right, I’m not your boyfriend anymore I naturally pressed your number but Calling or texting you seems like I am losing If I don’t say anything, I don’t think you’ll even care about me Why isn’t there a Dislike button? I don’t like it, becoming just one of the thirty-something guys Here and there, guys are liking your picture Commenting, “let’s meet up and play,” “why are you so pretty” Uh f**k that, all stupid b*******s You’re not even mine anymore but why do I feel like you’re being taken away? Haha, you’re doing so well without me I don’t wanna see it so stop partying so hard I swallow in the curses that rose up in my throat And again today, I click Like… shit After we broke up, you look better, pretty woman Yeah yeah yeah yeah Annoyingly, you still look good, pretty woman Oh pretty woman Don’t wanna be fool, wanna be cool Wanna be loved, same love as you I know it’s over Don’t wanna be fool, wanna be cool Wanna be loved, same love as you Baby I want it My friend clicked Like on your photo And I see that your face looks much better You tag tag a photo that you took with your new boyfriend Through that, I’m backspace-ing into the memories In that world, everything is stopped But why am I still hanging by that time? Do you think of me? (do you?) I contemplate, should I click Like or not It repeats many times Your heart is like a guillotine It severely cut me out but Like an ogre, I secretly go to you And I look at your daily life every day Each time, I am tormented Oh shit, do you think of me? (do you?) As I contemplate, I decide not to click Like After we broke up, you look better, pretty woman Yeah yeah yeah yeah Annoyingly, you still look good, pretty woman Oh pretty woman Don’t wanna be fool, wanna be cool Wanna be loved, same love as you I know it’s over Don’t wanna be fool, wanna be cool Wanna be loved, same love as you Baby I want it Are you well these days? I got curious and went to see and the Likes are shining You, who is living well without me Why did I think of you? The only thing that finds me is pity for myself I’ll click on your face and leave I’m living like this these days without you (Know you want it) After we broke up, you look better, pretty woman Yeah yeah yeah yeah Annoyingly, you still look good, pretty woman Oh pretty woman Don’t wanna be fool, wanna be cool Wanna be loved, same love as you I know it’s over Don’t wanna be fool, wanna be cool Wanna be loved, same love as you Baby I want it"
I Like You,"Listen to me carefully, I like you Your small height, your high-bridged nose, your cherry-like lips Without any technique, when you put your lips on mine You don’t know how pretty you are, it’s so sweet that I get shocked each time But why don’t you know how special you are? No matter what girl you bring me, I’ll pick you You’re not flashy but you softly glow Like the moon in the night sky Like the flowers in the field You seem plain but you’re special Like a gem that can ben seen to people who know You say you’re not pretty, that your eyes are small, your nose is small and you’re not skinny You say you’re chubby, you’re short and that other girls are so pretty You ask why I like you but stop worrying about that, trust me and don’t worry You’re different from other girls, in a world where there’s so many party girls You’re like a cold drink of water that will never make me go ill If you’re not here, I get thirsty, I get dried up like a splitting ground You don’t know how happy you make me More than a pretty actress More than a skinny model I like your bright smile More than anyone in this world More than any other girl You’re the prettiest to me Trust me No matter what anyone says (Let’s break it down now)"
I Mean It,How can I say it My feelings for you now Restless night Only the phone is upside down What I like or hate I didn’t have those but I changed babe I’m gonna run to you right now And hug you and tell you So when I say it’s love I mean it I mean it The word love I’m in it I’m in it I don’t need to say any other words Girl it’s only you only you Love that you can’t see I feel it I feel it Became my whole world I’m in it I’m in it You are the reason I breathe Girl it’s only you only you My diary Many pages The one who made me write The reason is you But when I stand in front of you It all disappears Oh this feeling Not with all those poems or words It’s perfect with just one word So when I say it’s love I mean it I mean it The word love I’m in it I’m in it I don’t need to say any other words Girl it’s only you only you Love that you can’t see I feel it I feel it Became my whole world I’m in it I’m in it You are the reason I breathe Girl it’s only you only you
I Need U,"Fall Fall Fall, scattering apart Fall Fall Fall, falling Because of you, I’m becoming ruined I wanna stop, I don’t want you anymore I can’t do it, this sucks Please don’t give me any excuses You can’t do this to me All of the things you said are like a mask It hides the truth and rips me apart It pierces me, I’m going crazy, I hate this Take it all away, I hate you But you’re my everything You’re my Everything You’re my Everything You’re my Please go away huh I’m sorry I hate u I love you I hate u Forgive me I need you girl Why am I in love alone, why am I hurting alone I need you girl Why do I keep needing you when I know I’ll get hurt? I need you girl, you’re beautiful I need you girl, you’re so cold I need you girl I need you girl I need you girl I need you girl It goes round & round, why do I keep coming back I go down & down, at this point, I’m just a fool Whatever I do, I can’t help it It’s definitely my heart, my feelings but why don’t they listen to me I’m just talking to myself again, talking to myself again I’m just talking to myself again, talking to myself again You’re not saying anything, please, I’ll treat you well But the sky is blue, the sky is blue The sky is blue and the sun is shining So my tears are even more noticeable Why is it you? Why did it have to be you? Why can’t I leave you? I need you girl Why am I in love alone, why am I hurting alone I need you girl Why do I keep needing you when I know I’ll get hurt? I need you girl, you’re beautiful I need you girl, you’re so cold I need you girl I need you girl I need you girl I need you girl Girl, just tell me you wanna break up Girl, just tell me it wasn’t love I have no courage to say that Give me my last gift So I can’t ever go back to you I need you girl Why am I in love alone, why am I hurting alone I need you girl Why do I keep needing you when I know I’ll get hurt? I need you girl, you’re beautiful I need you girl, you’re so cold I need you girl I need you girl I need you girl I need you girl"
I love you more than anyone (누구보다 널 사랑해),"I love you more than anyone in this world, your small world Like the scent of a violet is your smile, until forever I love you more than anyone Like a dream in the blue sky Your heart is like an unchanging friend, until forever When the morning sun shines through the window Your bright smile makes me happy I do want your love for me I do want your love for me I do want your love for me-e I do want your love for me I do want your love for me I do want your love for me Woo-hoo, hah-ah Sometimes when I walk down the street and look back (I do want your love for me) I miss the last days I spent with you a lot (I do want your love for me) A very, very long time has passed (I do want your love for me) So I’ll miss you today too (I do want your love for me) You were always by my side When it was hard, when it was joyful too You are my lovely friend Now I want to do everything for you Close your eyes and look at the blue sky That beautiful world we created together I do want your love for me I do want your love for me I do want your love for me-e I do want your love for me I do want your love for me I do want your love for me Woo-hoo The days I spent with you The love we had in them (the love we had) I love you until forever (I love you until forever) All of you until forever The morning sun is clear as I lean against the window (I love you) When I smell your scent carried by the wind There is a beautiful small world in both of our hands (until forever) Until when will it shine on us? Last summer at the beach (all of you) The small promises and happy dreams I had with you Until forever, inside of our hearts (until forever) They will always shine"
I was once trapped in a dark,"I was once trapped in a dark maze (In the darkness) But I hear your voice that woke me up You made me be born again, yeah E-X-O Listen! Say my name (Louder) If you become my light and pull me through this chaotic place (what up) I’ll hold you and never change, I’ll hold you and face those who left me Never don’t mind about a thing You came into the big emptiness in my heart In this shaking world (whoo babe) You were the only one who became my light Girl you’re the one I want (You’re the one I want) There are many who shine but look at what’s real among them Call me baby, Call me baby, Call me baby, Call me baby (You know my name girl) (I’ll be your baby yeah- Ho!) You make me exist as myself (You know I’m here girl) You’re the only one in my world, you’re the one, You’re the one Girl you’re the one I want (You’re the one that I want) There are many who shine but look at what’s real among them Call me baby, Call me baby, Call me baby, Call me baby (You know my name girl) Even if it’s many times, Call me girl"
ICON,"Yeah yeah yeah mmm I’m over the top, so what I’m just tryna give ’em all the what they want No, I ain’t hard to love They know a thing like me is once in a lifetime Spotlight on me even when we laying in the dark I don’t even mind ’em seeing all my battle scars Couple twists and turns they took me straight to where we are Outta the ashes, I’m coming alive I think that’s why they eyein me Watchin’ me My legacy I took it to the top From the start Never stop I ain’t going nowhere I’m an icon When all them other nobodies are long gone I don’t even need to turn the mic on Ay ya ya ya ya Damn I got it I’m iconic Chasing the footsteps You’re tryna act too blessed Tryin’ too hard na na oo oo But you best better stay calm Stop trying be too on Damn I got it I’m iconic Damn I got it I’m iconic Don’t gotta tell me twice I’m just tryna give ’em all the what they like Got me so up, I’m fly Up in a lifted state of mind Imagine you living the high life Every second of your life Everything better I’m loving the view from the high rise Even when it’s high tide I know that you wanna Get into the middle of my ocean You gotta Gimme all my props cuz Baby I’m a hustla When they talk about me they all saying “oh, I love her!” I ain’t seeing no lies Look here I’m the highlight If you had my love You’d love me for your whole life I think that’s why they eyein me Watchin’ me My legacy I took it to the top From the start Never stop I ain’t going nowhere I’m an icon When all them other nobodies are long gone I don’t even need to turn the mic on Ay ya ya ya ya Damn I got it I’m iconic Chasing the footsteps You’re tryna act too blessed Tryin’ too hard na na oo oo But you best better stay calm Stop trying be too on Damn I got it I’m iconic Damn I got it I’m iconic"
IU & Fiestar – Sea Of Moonlight ,"Yeah It’s summer! Anywhere is good – Falling love Today, let’s go anywhere no matter what Before this summer goes How about a place where you can hear the water and there’s a lot of grass? Honestly, if it’s with you, anywhere is fine The sky looks like a sea of moonlight The pretty stars look like small boats (only for you) A spoon of moonlight, two drops of starlight This summer will fill our memories (sea of moonlight) Hey You! Just a feeling Just a dreaming Let’s follow the wind and go – all right Let’s open our eyes somewhere else tomorrow no matter what First, at a place where the sun rises We might see rainbows from the crashing waves Honestly, whatever I see with you, I’ll like it The sky looks like a sea of moonlight The pretty stars look like small boats (only for you) A spoon of moonlight, two drops of starlight This summer will fill our memories (sea of moonlight) Beautiful moon night How about leaving to the cool ocean together? (yes) If it’s with you, ok! Next summer, we will still be together We will hold tight each other’s hands and talk about today The sea looks like a sky of water light Cloud-like waves push over to us (only for you) Each memory stacks up each summer Each step will be remembered this summer (sea of moonlight) Romanization/Romanized:"
Ice Cream,Come a little closer cause you looking thirsty Imma make it better sip it like a slurpee Snow cone chilly Get it free like willy In the jeans like billie You be poppin’ like a wheelie Even in the sun you know I keep it icy You could take a lick but it’s too cold to bite me Brrr brrr frozen You’re the one been chosen Play the part like moses Keep it fresh like roses Look so good yeah look so sweet Looking good enough to eat Coldest with this kiss so he call me ice cream Catch me in the fridge right where the ice be Look so good yeah look so sweet Baby you deserve a treat Diamonds on my wrist so he call me ice cream You can double dip cause I know you like me Ice cream chillin’ chillin’ Ice cream chillin’ Ice cream chillin’ chillin’ Ice cream chillin’ I know that my heart could be so cold But I’m sweet for you come put me in a cone You’re the only touch yeah they get me melting He’s my favorite flavor always gonna pick him You’re the cherry piece just stay on top of me so I can’t see nobody else for me no Get it flip it scoop it Do it like that ah yeah ah yeah Like it love it lick it Do it like lalala oh yeah Look so good yeah look so sweet Looking good enough to eat Coldest with this kiss so he call me ice cream Catch me in the fridge right where the ice be Look so good yeah look so sweet Baby you deserve a treat Diamonds on my wrist so he call me ice cream You can double dip cause I know you like me Ice cream chillin’ chillin’ Ice cream chillin’ Ice cream chillin’ chillin’ Ice cream chillin’ Ice cream chillin’ chillin’ Ice cream chillin’ Ice cream chillin’ chillin’ Ice cream Chillin’ like a villain yeah ra ra ra Michin michindeuthan sokdo in my la fera Neomu ppalleo neoneun ppikkeut wonhandamyeon geunyang jireum Millis billis maeil beoreum hanyeoreum sonmoge eoreum Keep it movin’ like my lease up Think you fly boy where ya visa Mona lisa kinda lisa Needs an ice cream man that treats her Keep it movin’ like my lease up Think you fly boy where ya visa Mona lisa kinda lisa Needs an ice cream man that treats her Na na na na na Na na na na na na na Ice on my wrist yeah I like it like this Get the bag with the cream If you know what I mean Ice cream Ice cream Ice cream chillin’ Na na na na na Na na na na na na na Ice on my wrist yeah I like it like this And I’m nice with the cream If you know what I mean Ice cream Ice cream Ice cream
If I Ruled the World,"[방탄소년단 ""If I Ruled the World"" 가사] [Intro: V & Jimin, Jung Kook, RM] If I ruled the world I'd do it all (Westside, westside, westside) Westside 'til I die, gimme the real world man If I ruled the world I'd do it all (Westside, westside, westside) Yeah, it's BTS [Verse 1: RM] If I ruled the world I'd have it all 남자라면 똑같겠지, pretty girls 완전히 없어지네 인종차별 European, Asian, Caucasian girls (I have 'em) 그리곤 불러 릭오웬스, 앤드뮬뮈스터 알렉산더 왕 & 셰인 올리버 평생 만들게 해 김남준 컬렉션 옷 색깔은 까만색으로 이제야 좀 만족스러 Music, turn it up 지루해져 후비는 콧구녕 노랠 만들어 지구상 모든 사람들에게 부르게 해 노래 제목은 애구가 이쁜 여자들에게 파묻혀 TV를 봐 세상의 모든 여자들 날 위해 ready to die 남자들 너넨 술 가져와 그냥 없어져도 좋아 어쨌든 여긴 내 왕국이니까 [Chorus: V, V & Jimin, Jung Kook] If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say [Post-Chorus: Jung Kook, Jin, All] Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey, ho (Hey, ho) Hey-hey-ho (Hey-hey-ho) 말도 안 된다는 걸 아는데 불러보는 철없는 노래 [Verse 2: SUGA] If I ruled the world 가끔 꿈을 꿔 내가 만약 세상을 지배한다면 일단 먼저 난 공인중개사를 찾아가 가족과 함께 살 집을 사고파 그래, 그 다음은 내 장롱면허 잠에서 깨워줘야지 4륜구동 차를 구입하고 기름을 주입하고 이런 게 무리라도 무이자인 할부로 주식과 도박 그딴 건 안 하고파 세상을 지배했는데 왜 그리 꿈이 소박 하냐는 질문은 마 난 방탄 식구들과 그래도 여전히 I'm still 음악이고파 난 힙합계의 김정은이 되서 우리 음악 말곤 심의를 걸겠어 얼토당토 안 한 꿈이지만 It's my dream 놀리지 마 [Chorus: V, V & Jimin, Jung Kook] If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say [Post-Chorus: Jung Kook, Jin, All] Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey, ho (Hey, ho) Hey-hey-ho (Hey-hey-ho) 말도 안 된다는 걸 아는데 불러보는 철없는 노래 [Verse 3: j-hope] Oh, girl, 어디? Oh, god, 여기! 세상에 모든 여자들은 Hope world, 줄 섰지 모든 money 거뜬하게 써도 내 지갑이란 골대에 돈이 골인되지 또 겁 없이 무대 위를 걸어다니지 달리지 않아도 갈수록 쌓여가는 마일리지 이런 꿈들을 이젠 내게 곧 선물하겠어 방탄이란 이름 걸고 외쳐 If I ruled the world [Chorus: V, V & Jimin, Jung Kook] If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say If I ruled the world I'd do it all (I'd do it all) I said 1 for the money, 2 for the money, say [Post-Chorus: Jung Kook, Jin, All] Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey-oh, eh-oh, oh (Eh-oh, eh-oh, oh) Everybody say hey, ho (Hey, ho) Hey-hey-ho (Hey-hey-ho) 말도 안 된다는 걸 아는데 불러보는 철없는 노래"
